question,answer
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
"Teacher, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
Please let me know if my office account will be lost when I graduate,"Hello, please contact the Student Affairs Department."
"Admin, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
"Admin, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
Bot let me ask if my office account will be lost when I graduate,"Hello, please contact the Student Affairs Department."
Will my office account be lost when I graduate?,"Hello, please contact the Student Affairs Department."
"Teachers, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
"Teacher, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
Can you tell me if my Office account will be lost after I graduate?,"Hello, please contact the Student Affairs Department."
Can you tell me if my office account will be lost when I graduate?,"Hello, please contact the Student Affairs Department."
Please let me know if my office account will be lost when I graduate,"Hello, please contact the Student Affairs Department."
"Admin, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
"Admin, let me ask if my office account will be lost when I graduate","Hello, please contact the Student Affairs Department."
Bot let me ask if my office account will be lost when I graduate,"Hello, please contact the Student Affairs Department."
Can I still use my office account after graduating?,"Hello, please contact the Student Affairs Department."
My teacher asked me if I can still use my office account when I graduate,"Hello, please contact the Student Affairs Department."
Can you tell me if I can still use my office account after I graduate?,"Hello, please contact the Student Affairs Department."
Please let me know if I can still use my office account after I graduate,"Hello, please contact the Student Affairs Department."
Please let me know if I can still use my office account after I graduate,"Hello, please contact the Student Affairs Department."
Can you tell me if I can still use my office account after I graduate?,"Hello, please contact the Student Affairs Department."
Can you tell me if I can still use my office account after I graduate?,"Hello, please contact the Student Affairs Department."
Please let me know if I can still use my office account after I graduate,"Hello, please contact the Student Affairs Department."
"Admin, let me ask if I can still use my office account after I graduate","Hello, please contact the Student Affairs Department."
"Admin, let me ask if I can still use my office account when I graduate","Hello, please contact the Student Affairs Department."
The bot asked me if I can still use my office account when I graduate,"Hello, please contact the Student Affairs Department."
Please let me know the expiration date of the student email OneDrive 365 account.,"Hello, please contact the Student Affairs Department."
Please let me know how long the student email OneDrive 365 account is valid,"Hello, please contact the Student Affairs Department."
How long does OneDrive 365 student email expire?,"Hello, please contact the Student Affairs Department."
"When I graduate, will my OneDrive email still work?","Hello, please contact the Student Affairs Department."
"When I graduate, will OneDrive of my student email still work?","Hello, please contact the Student Affairs Department."
"When I graduate, will my student email OneDrive still work?","Hello, please contact the Student Affairs Department."
"When I graduate, will the data saved on One Drive of my student's email still be saved?","Hello, please contact the Student Affairs Department."
"When I graduate, will the data saved on One Drive of my student email still be saved?","Hello, please contact the Student Affairs Department."
How long is the validity of using OneDrive email sv?,"Hello, please contact the Student Affairs Department."
How long is the validity of using OneDrive student email?,"Hello, please contact the Student Affairs Department."
How long is the validity period for using OneDrive student email?,"Hello, please contact the Student Affairs Department."
Will the data I saved on OneDrive using my student email after graduating be still saved?,"Hello, please contact the Student Affairs Department."
"After graduation, will the student email OneDrive still be valid?","Hello, please contact the Student Affairs Department."
Can Onedrive still be used after graduation?,"Hello, please contact the Student Affairs Department."
Can Onedrive still be used after graduation?,"Hello, please contact the Student Affairs Department."
I'm a 15th grader and registered to retake the same course as 16th grade. Can I ask why I can't register for the subject in Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can I register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
How to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
How to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Teachers, please tell me if I can register again?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me if I can register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me if I can register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you please tell me if I can register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you tell me if I can register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you please tell me if I can register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, can you please re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, can I re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Bot can you tell me if I can re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Teachers, please tell me how to re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, please tell me how to re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, please tell me how to re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Bot can you tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Teachers, please tell me how to re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-enroll?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to register again?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you tell me how to re-enroll?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me how to re-enroll?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, can you tell me how to re-enroll?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, can you tell me how to re-register?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Bot can you tell me how to re-register?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
 Let me ask why I can't register for the course again at Moodle,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
It is not possible to register for subjects from previous courses in moodle,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Teachers, please tell me why I can't re-register for the course?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for the course?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for the course?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for the course?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you tell me why I can't re-register for the course?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for the course?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, can you tell me why I can't re-register for the course?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, please tell me why I can't re-register for the course?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Bot can you tell me why I can't re-register for the course?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Teachers, please tell me why I can't re-register for courses on Moodle?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for the course on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for courses on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Could you please tell me why I can't re-register for courses on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you tell me why I can't re-register for courses on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Can you tell me why I can't re-register for courses on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, can you tell me why I can't re-register for courses on Moodle?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Admin, please tell me why I can't re-register for courses on Moodle?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Bot can you tell me why I can't re-register for courses on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
The school asked me why I couldn't register for subjects from the previous course on Moodle.,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Currently, I want to register for the previous course on Moodle but can't?","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Moodle cannot register subjects from the previous course,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Moodle cannot register for subjects from previous courses?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Why was I unsuccessful in registering for a course in a previous course on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Why did I re-register to study on Moodle but failed?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
What should I do if I cannot register for previous courses on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
What to do when previous courses cannot be registered on Moodle?,"Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
"Previous course, moodle, subject, register, failed, retake","Hello, Please contact the Technical Department support@fit.hcmus.edu.vn for answers."
Wrong personal information on moodle,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
I have wrong personal information on moodle,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
My personal information on Moodle is wrong,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"My personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Teacher, please let me know if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, what should I do if my personal information on Moodle is wrong?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, I would like to ask what should I do if my personal information on Moodle is wrong?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"The bot asked me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Teacher, please tell me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, what should I do if my personal information on Moodle is wrong?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, let me ask if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"The bot asked me if my personal information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Teacher, please tell me what to do if my personal information on Moodle is wrong?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Could you please tell me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, please tell me what to do if my personal information on Moodle is wrong?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, can you tell me what to do if my personal information on Moodle is wrong?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
The bot asked me what to do if my personal information on Moodle is wrong?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Teacher, please tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Could you please tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, please tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Admin, can you tell me if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Bot let me ask if my personal information on Moodle is wrong, how can I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
What should I do if I update my personal information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"My personal information on Moodle is incorrectly updated, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"If my personal information on Moodle is incorrectly updated, how should I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"If my personal information on Moodle is incorrectly updated, how should I update it?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
My personal information on moodle is wrong.,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
 The student information on moodle is wrong,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
My information on moodle is wrong.,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How can I correct incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How can I update incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How can I change wrong information on moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"Wrong information, moodle","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Update moodle information,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
Edit information on moodle,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How can I update incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to update incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to update incorrect information on moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How can I update incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to update incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to update incorrect information on moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to correct incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to correct incorrect information on Moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to correct incorrect information on moodle?,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
"My information on Moodle is wrong, what should I do?","If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
 Correct incorrect information on moodle,"If you have any problems with Moodle and the Faculty website, please use email MSSV@student.hcmus.edu.vn to send an email to the Technical Department support@fit.hcmus.edu.vn for support."
How to retrieve Moodle password when you forget it?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"forgot my Moodle r password, how can I get it back?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"I forgot my Moodle password, how can I get it back?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"I forgot my Moodle password, how can I get it back?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"I forgot my Moodle password, how can I get it back?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Is there any way to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Is there any way to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Is there any way to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to retrieve Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
What should I do if I forget my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
What should I do if I forget my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
What should I do if I forget my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
What should I do if I forget my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
What should I do if I forget my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
What should I do if I forget my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to recover Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How to recover Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"Teachers, please tell me how I can recover Moodle's password?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Could you please tell me how I can recover Moodle's password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Could you please tell me how I can recover Moodle's password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Could you please tell me how I can recover Moodle's password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Could you please tell me how I can recover Moodle's password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"Admin, please tell me how I can recover Moodle's password?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"Admin, please tell me how I can recover Moodle's password?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Bot please tell me how to recover Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
 Recover moodle password,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Recover moodle site password,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Recover moodle password,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Recover Moodle password,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
 Recover Moodle password,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Recover Moodle page password,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can I retrieve my Moodle password through my student email?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can I retrieve my Moodle password through my student email?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can I retrieve my Moodle password through my student email?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can I retrieve my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can I retrieve my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can I retrieve my Moodle password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can I recover Moodle password via student email?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can I recover my moodle password through my student email?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can I recover Moodle site password through student email?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can I recover Moodle site password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can I recover Moodle site password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can I recover Moodle site password?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can Moodle password be recovered?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
Can Moodle password be recovered?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can Moodle password be recovered?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
How can Moodle password be recovered?,Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
"I forgot my Moodle password, what should I do now?",Use email MSSV@student.hcmus.edu.vn to send to the Technical Department support@fit.hcmus.edu.vn for support.
